EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
jdulemba              5.46 TB          2.73 TB          6.60 TB          3.30 TB       124477       500000    ok/ok
aparker               5.46 TB          2.73 TB          8.00 TB          4.00 TB       173742       500000    ok/ok
mzakaria              5.33 TB          2.67 TB          6.44 TB          3.22 TB        17398       500000    ok/ok
cmantill              5.33 TB          2.66 TB          7.70 TB          3.85 TB       137312       500000    ok/ok
pthapa                5.04 TB          2.52 TB          8.00 TB          4.00 TB        34531       500000    ok/ok
cihar29               4.92 TB          2.46 TB          8.00 TB          4.00 TB        97683       500000    ok/ok
dpuigh                4.92 TB          2.46 TB          5.00 TB          2.50 TB        13213      5000000    warning/ok
naina25               4.90 TB          2.45 TB         11.00 TB          5.50 TB       132709       500000    ok/ok
rkowalsk              4.90 TB          2.45 TB          8.00 TB          4.00 TB        83366       500000    ok/ok
mbellis               4.87 TB          2.44 TB          8.80 TB          4.40 TB       151662       500000    ok/ok
mrmooney              4.71 TB          2.36 TB         17.18 TB          8.59 TB         3057       500000    ok/ok
shu                   4.65 TB          2.32 TB          4.00 TB          2.00 TB         1310       500000    exceeded/ok
sachikot              4.64 TB          2.32 TB          4.40 TB          2.20 TB           98       500000    exceeded/ok
jbueghly              4.39 TB          2.20 TB          6.00 TB          3.00 TB        24438       500000    ok/ok
cmi34                 4.36 TB          2.18 TB          4.29 TB          2.15 TB        24424       500000    exceeded/ok
tahuang               4.32 TB          2.16 TB          4.29 TB          2.15 TB        58896       500000    exceeded/ok
satyaki               4.31 TB          2.15 TB          4.29 TB          2.15 TB          749       500000    exceeded/ok
dquach                4.30 TB          2.15 TB          4.29 TB          2.15 TB       156065       500000    exceeded/ok
degrutto              4.30 TB          2.15 TB          4.29 TB          2.15 TB         4229       500000    exceeded/ok
asharma               4.29 TB          2.15 TB          4.29 TB          2.15 TB        14335       500000    exceeded/ok
sceno                 4.29 TB          2.15 TB          4.29 TB          2.15 TB        29799       500000    exceeded/ok
robertc               4.29 TB          2.15 TB          4.29 TB          2.15 TB         7133       500000    exceeded/ok
flowers1              4.29 TB          2.15 TB          4.29 TB          2.15 TB        41866       500000    exceeded/ok
gurpinar              4.28 TB          2.14 TB          4.29 TB          2.15 TB       279376       500000    exceeded/ok
kfjack                4.25 TB          2.12 TB          4.29 TB          2.15 TB        38960       500000    warning/ok
jmanagan              4.25 TB          2.12 TB          6.00 TB          3.00 TB         7644       500000    ok/ok
sbc01                 4.21 TB          2.11 TB          4.29 TB          2.15 TB       162834       500000    warning/ok
jingli                4.18 TB          2.09 TB          4.29 TB          2.15 TB        41347       500000    warning/ok
qunwang               4.15 TB          2.07 TB          4.29 TB          2.15 TB        13627       500000    warning/ok
eminizer              4.14 TB          2.07 TB          4.29 TB          2.15 TB        89103       500000    warning/ok
peveraer              4.09 TB          2.04 TB          4.29 TB          2.15 TB         8567       500000    warning/ok
apatters              4.09 TB          2.04 TB         10.00 TB          5.00 TB       371734       500000    ok/ok
asanchez              4.08 TB          2.04 TB          8.00 TB          4.00 TB        61738       500000    ok/ok
jchu                  4.07 TB          2.03 TB          5.00 TB          2.50 TB       456926      2000000    ok/ok
eusebi                4.05 TB          2.02 TB          4.29 TB          2.15 TB       218921       500000    warning/ok
zdemirag              4.03 TB          2.01 TB          4.29 TB          2.15 TB        28605       500000    warning/ok
yongjie               4.02 TB          2.01 TB          4.29 TB          2.15 TB        56876       500000    warning/ok
klau                  4.01 TB          2.00 TB         10.00 TB          5.00 TB        15637       500000    ok/ok
rebassoo              4.00 TB          2.00 TB          4.29 TB          2.15 TB         8096       500000    warning/ok
rasharma              3.99 TB          2.00 TB          4.40 TB          2.20 TB        87133       500000    warning/ok
clint                 3.98 TB          1.99 TB          4.29 TB          2.15 TB       207292       500000    warning/ok
ecoleman              3.98 TB          1.99 TB          4.00 TB          2.00 TB       191119            0    exceeded/ignored
dildick               3.98 TB          1.99 TB          4.29 TB          2.15 TB        31288       500000    warning/ok
sandhya               3.97 TB          1.99 TB          4.29 TB          2.15 TB        24212       500000    warning/ok
knash                 3.96 TB          1.98 TB          4.29 TB          2.15 TB        17725       500000    warning/ok
cawest                3.95 TB          1.98 TB          4.00 TB          2.00 TB        41488       500000    warning/ok
ocolegro              3.85 TB          1.93 TB          8.00 TB          4.00 TB       443059       500000    ok/ok
dryu                  3.83 TB          1.92 TB          4.29 TB          2.15 TB        41065       500000    ok/ok
jstupak               3.82 TB          1.91 TB          4.29 TB          2.15 TB        25574       500000    ok/ok
ozok                  3.80 TB          1.90 TB          4.29 TB          2.15 TB        43475       500000    ok/ok
dansand               3.74 TB          1.87 TB          4.29 TB          2.15 TB        27187       500000    ok/ok
bdiamond              3.73 TB          1.87 TB          4.29 TB          2.15 TB         1438       500000    ok/ok
kodolova              3.73 TB          1.86 TB          4.29 TB          2.15 TB       168721       500000    ok/ok
erichjs               3.72 TB          1.86 TB          4.29 TB          2.15 TB         7993       500000    ok/ok
awhitbe1              3.72 TB          1.86 TB          4.40 TB          2.20 TB       489076       500000    ok/warning
reddypg               3.71 TB          1.86 TB          4.00 TB          2.00 TB        80749       500000    warning/ok
salazar               3.70 TB          1.85 TB          4.00 TB          2.00 TB        11083       500000    warning/ok
hatake                3.70 TB          1.85 TB          4.29 TB          2.15 TB         5392       500000    ok/ok
sdurgut               3.68 TB          1.84 TB          4.29 TB          2.15 TB        33376       500000    ok/ok
tucker                3.65 TB          1.82 TB          4.29 TB          2.15 TB       191905       500000    ok/ok
usarkar               3.64 TB          1.82 TB          4.00 TB          2.00 TB         9066       500000    warning/ok
bhawna                3.64 TB          1.82 TB          6.03 TB          3.02 TB        35215       500000    ok/ok
bschneid              3.63 TB          1.81 TB          4.29 TB          2.15 TB        76620       500000    ok/ok
rband                 3.62 TB          1.81 TB          4.29 TB          2.15 TB        19650       500000    ok/ok
mengleis              3.62 TB          1.81 TB          4.29 TB          2.15 TB         1597       500000    ok/ok
jsomalwa              3.60 TB          1.80 TB          4.29 TB          2.15 TB       144141       500000    ok/ok
raghavan              3.56 TB          1.78 TB          4.29 TB          2.15 TB        20870       500000    ok/ok
dfehling              3.54 TB          1.77 TB          4.29 TB          2.15 TB         4634       500000    ok/ok
wsun                  3.47 TB          1.74 TB          4.00 TB          2.00 TB        52573       500000    ok/ok
morris17              3.42 TB          1.71 TB          4.29 TB          2.15 TB        15627       500000    ok/ok
eusai                 3.41 TB          1.70 TB          4.29 TB          2.15 TB         4210       500000    ok/ok
jjackso3              3.40 TB          1.70 TB          4.29 TB          2.15 TB        27272       500000    ok/ok
naodell               3.40 TB          1.70 TB          6.44 TB          3.22 TB         1574       500000    ok/ok
rsyarif               3.39 TB          1.69 TB          4.29 TB          2.15 TB        53666       500000    ok/ok
qhuang2               3.38 TB          1.69 TB          4.29 TB          2.15 TB        48838       500000    ok/ok
maravin               3.38 TB          1.69 TB          4.29 TB          2.15 TB        21476       500000    ok/ok
jyhan                 3.36 TB          1.68 TB          4.29 TB          2.15 TB        46258       500000    ok/ok
avanderp              3.34 TB          1.67 TB          4.29 TB          2.15 TB        10862       500000    ok/ok
soubasis              3.33 TB          1.67 TB          4.29 TB          2.15 TB         7113       500000    ok/ok
anovak                3.33 TB          1.66 TB          4.29 TB          2.15 TB        10317       500000    ok/ok
sturdy07              3.31 TB          1.66 TB          4.29 TB          2.15 TB        47152       500000    ok/ok
kgumpula              3.31 TB          1.65 TB          4.29 TB          2.15 TB        14790       500000    ok/ok
shogan                3.29 TB          1.65 TB          4.00 TB          2.00 TB       222162       500000    ok/ok
ntomari               3.29 TB          1.65 TB          4.29 TB          2.15 TB         4334       500000    ok/ok
gvidale               3.28 TB          1.64 TB          4.00 TB          2.00 TB          387       500000    ok/ok
mmaurya               3.28 TB          1.64 TB          4.00 TB          2.00 TB       329509       500000    ok/ok
