EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
kasmi               870.93 GB        435.46 GB          4.29 TB          2.15 TB           18       500000    ok/ok
avetisya            870.25 GB        435.13 GB          4.29 TB          2.15 TB        12790       500000    ok/ok
marek               868.24 GB        434.12 GB          4.29 TB          2.15 TB         3987       500000    ok/ok
bfrancis            857.93 GB        428.97 GB          4.29 TB          2.15 TB         2343       500000    ok/ok
skalafut            852.11 GB        426.06 GB          4.40 TB          2.20 TB        92391       500000    ok/ok
mquinnan            850.41 GB        425.21 GB          4.00 TB          2.00 TB        18630       500000    ok/ok
stjohn              839.21 GB        419.60 GB          4.29 TB          2.15 TB          110       500000    ok/ok
shtan               834.96 GB        417.48 GB          4.00 TB          2.00 TB         5571      5000000    ok/ok
ingabu              831.34 GB        415.67 GB          4.29 TB          2.15 TB         2163       500000    ok/ok
tlibeiro            810.93 GB        405.46 GB          4.29 TB          2.15 TB         3276       500000    ok/ok
andresib            808.19 GB        404.10 GB          4.29 TB          2.15 TB       480753       500000    ok/warning
mulhearn            806.54 GB        403.27 GB          4.29 TB          2.15 TB         1558       500000    ok/ok
mamouzeg            805.69 GB        402.84 GB          4.00 TB          2.00 TB        36130       500000    ok/ok
seema               593.05 GB        400.40 GB         11.00 TB          5.50 TB         7620       500000    ok/ok
lgiannin            797.67 GB        398.84 GB          4.29 TB          2.15 TB        25381       500000    ok/ok
mressego            791.35 GB        395.67 GB          4.29 TB          2.15 TB         1174       500000    ok/ok
tmitchel            790.28 GB        395.14 GB          4.29 TB          2.15 TB       390322       500000    ok/ok
sicooper            778.46 GB        389.23 GB          4.29 TB          2.15 TB        26155       500000    ok/ok
tmperry             777.82 GB        388.91 GB          4.29 TB          2.15 TB         2394       500000    ok/ok
rpyohay             767.98 GB        383.99 GB          4.29 TB          2.15 TB        12215       500000    ok/ok
mmelodea            766.42 GB        383.21 GB          4.29 TB          2.15 TB         2939       500000    ok/ok
tyetkin             757.75 GB        378.88 GB          4.29 TB          2.15 TB         2129       500000    ok/ok
dburns7             729.26 GB        364.63 GB          4.00 TB          2.00 TB         1263       500000    ok/ok
rreyesal            727.19 GB        363.60 GB          4.29 TB          2.15 TB        52388       500000    ok/ok
fernanpe            725.38 GB        362.69 GB          4.00 TB          2.00 TB         2721       500000    ok/ok
fanxia              722.21 GB        361.10 GB          4.29 TB          2.15 TB         3735       500000    ok/ok
bmahakud            721.90 GB        360.95 GB          4.40 TB          2.20 TB       478829       500000    ok/warning
nsonmez             720.83 GB        360.41 GB          4.29 TB          2.15 TB          648       500000    ok/ok
gbenelli            714.49 GB        357.25 GB          4.29 TB          2.15 TB        38012       500000    ok/ok
aavkhadi            710.85 GB        355.42 GB          4.00 TB          2.00 TB        27811       500000    ok/ok
asady1              689.95 GB        344.97 GB          4.40 TB          2.20 TB         3011       500000    ok/ok
mlu                 678.38 GB        339.19 GB          4.29 TB          2.15 TB        32014       500000    ok/ok
bachtis             677.22 GB        338.61 GB          4.29 TB          2.15 TB        15412       500000    ok/ok
benwu               653.66 GB        326.83 GB          4.40 TB          2.20 TB        96575       500000    ok/ok
lwming              647.58 GB        323.79 GB          4.29 TB          2.15 TB       197150       500000    ok/ok
merrill             645.35 GB        322.67 GB          4.29 TB          2.15 TB        12877       500000    ok/ok
rapte               640.38 GB        320.19 GB          4.00 TB          2.00 TB         6995       500000    ok/ok
fojensen            639.71 GB        319.86 GB          8.00 TB          4.00 TB        66608       500000    ok/ok
mharaki             637.73 GB        318.87 GB          4.00 TB          2.00 TB         4604       500000    ok/ok
aackert             631.62 GB        315.81 GB          4.29 TB          2.15 TB         2398       500000    ok/ok
adasgupt            631.21 GB        315.60 GB          4.29 TB          2.15 TB         1156       500000    ok/ok
jwoods              628.50 GB        314.25 GB          4.29 TB          2.15 TB         1982       500000    ok/ok
anirban             576.01 GB        288.00 GB          4.29 TB          2.15 TB         2531       500000    ok/ok
iraklich            544.65 GB        272.32 GB          4.29 TB          2.15 TB         5180       500000    ok/ok
mzientek            538.29 GB        269.15 GB          2.20 TB          1.10 TB         1181       500000    ok/ok
yinh                527.31 GB        263.65 GB          4.29 TB          2.15 TB         1882       500000    ok/ok
sjwang              522.53 GB        261.26 GB          4.29 TB          2.15 TB         6585       500000    ok/ok
wnash               522.02 GB        261.01 GB          4.29 TB          2.15 TB        21362       500000    ok/ok
talib               518.60 GB        259.30 GB          4.29 TB          2.15 TB          339       500000    ok/ok
bpollack            514.38 GB        257.19 GB          4.29 TB          2.15 TB         3935       500000    ok/ok
pakhotin            508.93 GB        254.46 GB          4.29 TB          2.15 TB          225       500000    ok/ok
ferencek            507.39 GB        253.69 GB          4.29 TB          2.15 TB          666       500000    ok/ok
lagray              506.38 GB        253.19 GB          4.29 TB          2.15 TB        76124       500000    ok/ok
friccita            504.97 GB        252.49 GB          4.29 TB          2.15 TB         2325       500000    ok/ok
demattia            500.68 GB        250.34 GB          4.29 TB          2.15 TB       169665       500000    ok/ok
gartung             494.96 GB        247.48 GB          4.29 TB          2.15 TB          102       500000    ok/ok
emacdona            490.80 GB        245.40 GB          4.29 TB          2.15 TB         7834       500000    ok/ok
aschneid            490.57 GB        245.28 GB          4.29 TB          2.15 TB           19       500000    ok/ok
hats                476.23 GB        238.11 GB          4.00 TB          2.00 TB        14731       500000    ok/ok
speer               476.07 GB        238.04 GB          4.29 TB          2.15 TB        12405       500000    ok/ok
rgerosa1            474.43 GB        237.22 GB          4.29 TB          2.15 TB           51       500000    ok/ok
yokugawa            472.47 GB        236.24 GB          4.00 TB          2.00 TB          529       500000    ok/ok
zwang2              464.40 GB        232.20 GB          5.00 TB          2.50 TB         6241       500000    ok/ok
butler              461.64 GB        230.82 GB          4.29 TB          2.15 TB         1241       500000    ok/ok
sudan               459.63 GB        229.81 GB          4.29 TB          2.15 TB         5132       500000    ok/ok
lusito              452.66 GB        226.33 GB          4.29 TB          2.15 TB        35848       500000    ok/ok
ywen                451.76 GB        225.88 GB          4.40 TB          2.20 TB         5318       500000    ok/ok
huangch             434.49 GB        217.25 GB          4.29 TB          2.15 TB          343       500000    ok/ok
meena               430.27 GB        215.13 GB          4.29 TB          2.15 TB        19586       500000    ok/ok
mmhl                429.47 GB        214.73 GB          4.29 TB          2.15 TB         4464       500000    ok/ok
samaral             421.92 GB        210.96 GB          4.00 TB          2.00 TB        24482       500000    ok/ok
afarah              418.13 GB        209.06 GB          4.00 TB          2.00 TB           35       500000    ok/ok
etiras              410.55 GB        205.27 GB          4.29 TB          2.15 TB        39246       500000    ok/ok
mmcnulty            401.96 GB        200.98 GB          4.29 TB          2.15 TB         6552       500000    ok/ok
msolmaz             398.89 GB        199.45 GB          4.00 TB          2.00 TB         2478     10000000    ok/ok
sfonseca            398.32 GB        199.16 GB          4.00 TB          2.00 TB         2932       500000    ok/ok
tutanon9            390.31 GB        195.15 GB          4.29 TB          2.15 TB         1165       500000    ok/ok
yfeng               387.99 GB        193.99 GB          4.29 TB          2.15 TB         7271       500000    ok/ok
kkwok               387.77 GB        193.89 GB          4.00 TB          2.00 TB        58501       500000    ok/ok
jcolsen7            382.87 GB        191.43 GB          5.00 TB          2.50 TB         6590       500000    ok/ok
samirg28            371.74 GB        185.87 GB          4.29 TB          2.15 TB          246       500000    ok/ok
tgunter             368.19 GB        184.10 GB          4.29 TB          2.15 TB        18092       500000    ok/ok
jrainbol            366.34 GB        183.17 GB          4.29 TB          2.15 TB          207       500000    ok/ok
ygule               364.81 GB        182.41 GB          4.29 TB          2.15 TB         5756       500000    ok/ok
jknolle             358.98 GB        179.49 GB          4.00 TB          2.00 TB          212       500000    ok/ok
ecarrera            331.50 GB        165.75 GB          4.29 TB          2.15 TB           32       500000    ok/ok
bcammett            325.05 GB        162.53 GB          4.29 TB          2.15 TB         4400       500000    ok/ok
lacroix             318.30 GB        159.15 GB          4.29 TB          2.15 TB         9655       500000    ok/ok
suplap              316.35 GB        158.18 GB          4.00 TB          2.00 TB        12026       500000    ok/ok
mrgarcia            311.19 GB        155.59 GB          4.29 TB          2.15 TB        17752       500000    ok/ok
cervant             310.63 GB        155.32 GB          4.40 TB          2.20 TB           73       500000    ok/ok
jabeen              309.20 GB        154.60 GB          4.29 TB          2.15 TB        41023       500000    ok/ok
jlee                305.60 GB        152.80 GB          4.29 TB          2.15 TB        18909       500000    ok/ok
rliu                285.73 GB        142.86 GB          4.29 TB          2.15 TB         3204       500000    ok/ok
aferapon            285.49 GB        142.74 GB          4.29 TB          2.15 TB          359       500000    ok/ok
mulholtd            283.28 GB        141.64 GB          4.29 TB          2.15 TB          814            0    ok/ignored
hwei                281.33 GB        140.67 GB       1000.00 GB        500.00 GB         3790       500000    ok/ok
kpadeken            279.10 GB        139.55 GB          4.00 TB          2.00 TB        15490       500000    ok/ok
ajung               277.99 GB        138.99 GB          4.29 TB          2.15 TB       107955       500000    ok/ok
toumazou            277.48 GB        138.74 GB          4.29 TB          2.15 TB         1114       500000    ok/ok
vkhr057             273.14 GB        136.57 GB          4.40 TB          2.20 TB         4032       500000    ok/ok
vdesai              248.94 GB        124.47 GB          4.00 TB          2.00 TB         9587       500000    ok/ok
mtrovato            242.16 GB        121.08 GB          4.00 TB          2.00 TB          571       500000    ok/ok
cuperez             239.92 GB        119.96 GB          4.00 TB          2.00 TB        12050       500000    ok/ok
dsilvers            234.27 GB        117.13 GB          4.29 TB          2.15 TB         2954       500000    ok/ok
bellan              233.81 GB        116.90 GB          4.29 TB          2.15 TB         5392       500000    ok/ok
sbose               106.21 GB        106.21 GB          4.29 TB          2.15 TB         2868       500000    ok/ok
wzhang              212.41 GB        106.20 GB          4.29 TB          2.15 TB         1085       500000    ok/ok
cshanaha            212.27 GB        106.13 GB          4.00 TB          2.00 TB          226       500000    ok/ok
jradams             210.91 GB        105.45 GB          4.29 TB          2.15 TB       275250       500000    ok/ok
casarsa             203.44 GB        101.72 GB          4.29 TB          2.15 TB         1263       500000    ok/ok
qliphy              201.59 GB        100.79 GB          4.29 TB          2.15 TB         1825       500000    ok/ok
ddash               200.71 GB        100.35 GB          4.29 TB          2.15 TB         3985       500000    ok/ok
skhi                200.14 GB        100.07 GB          5.00 TB          2.50 TB         5980      5000000    ok/ok
easmith             197.00 GB         98.50 GB          4.29 TB          2.15 TB            4       500000    ok/ok
chayanit            195.78 GB         97.89 GB          4.29 TB          2.15 TB        19013       500000    ok/ok
kypreos             192.34 GB         96.17 GB          4.29 TB          2.15 TB        12731       500000    ok/ok
benitezj            192.04 GB         96.02 GB          4.29 TB          2.15 TB         3539       500000    ok/ok
snorberg            189.57 GB         94.78 GB          4.29 TB          2.15 TB         4462       500000    ok/ok
ymtzeng             189.30 GB         94.65 GB          4.29 TB          2.15 TB           82       500000    ok/ok
zlesko              186.82 GB         93.41 GB          4.29 TB          2.15 TB        20258       500000    ok/ok
wittich             182.14 GB         91.07 GB          4.29 TB          2.15 TB           59       500000    ok/ok
jmejia              180.26 GB         90.13 GB          4.29 TB          2.15 TB        20258       500000    ok/ok
rbhattac            178.92 GB         89.46 GB          4.29 TB          2.15 TB        75947       500000    ok/ok
gorbunov            174.46 GB         87.23 GB          4.29 TB          2.15 TB         2216            0    ok/ignored
alefeld             171.94 GB         85.97 GB          4.29 TB          2.15 TB        48383       500000    ok/ok
aldas               169.83 GB         84.91 GB          4.00 TB          2.00 TB          423       500000    ok/ok
tmorriso            168.81 GB         84.40 GB          4.29 TB          2.15 TB        12429       500000    ok/ok
yiiyama             166.09 GB         83.05 GB          4.29 TB          2.15 TB          394       500000    ok/ok
saj32265            160.38 GB         80.19 GB          4.00 TB          2.00 TB         5871       500000    ok/ok
cfallon             155.77 GB         77.89 GB          4.00 TB          2.00 TB         1423       500000    ok/ok
ocerri              155.46 GB         77.73 GB          4.00 TB          2.00 TB           10       500000    ok/ok
rkd123              153.25 GB         76.62 GB          4.29 TB          2.15 TB        19417       500000    ok/ok
jgonski             152.30 GB         76.15 GB          4.40 TB          2.20 TB          295       500000    ok/ok
ssagir              151.18 GB         75.59 GB          4.29 TB          2.15 TB       298196       500000    ok/ok
dimitri             149.88 GB         74.94 GB          4.29 TB          2.15 TB         3090       500000    ok/ok
dsperka             146.47 GB         73.24 GB          4.29 TB          2.15 TB         1796       500000    ok/ok
jbabbar             144.06 GB         72.03 GB          4.29 TB          2.15 TB         1817       500000    ok/ok
rsingh              143.82 GB         71.91 GB          4.00 TB          2.00 TB          202       500000    ok/ok
bparida             142.98 GB         71.49 GB          4.40 TB          2.20 TB         6776       500000    ok/ok
bortigno            140.53 GB         70.26 GB          4.29 TB          2.15 TB           37       500000    ok/ok
uscms637            136.06 GB         68.03 GB           0.00 B           0.00 B          331            0    ignored/ignored
rbadman             133.67 GB         66.83 GB          4.40 TB          2.20 TB         3092       500000    ok/ok
vorobiev            126.00 GB         63.00 GB          4.29 TB          2.15 TB          465       500000    ok/ok
owenl               124.01 GB         62.01 GB          4.29 TB          2.15 TB          219       500000    ok/ok
bora12              119.98 GB         59.99 GB          4.29 TB          2.15 TB            4       500000    ok/ok
mike1886            118.63 GB         59.32 GB          4.29 TB          2.15 TB        10898       500000    ok/ok
ssghosh             117.97 GB         58.99 GB          4.29 TB          2.15 TB          110       500000    ok/ok
escotti             113.82 GB         56.91 GB          4.29 TB          2.15 TB         5753       500000    ok/ok
sghosh              110.06 GB         55.03 GB          4.29 TB          2.15 TB         3624       500000    ok/ok
parmesh             108.09 GB         54.05 GB          4.29 TB          2.15 TB          210       500000    ok/ok
ilyao               102.78 GB         51.39 GB          4.29 TB          2.15 TB           12       500000    ok/ok
dmw3                101.02 GB         50.51 GB          4.29 TB          2.15 TB          970       500000    ok/ok
ahall               100.44 GB         50.22 GB          4.00 TB          2.00 TB           58       500000    ok/ok
afeng                97.84 GB         48.92 GB          4.00 TB          2.00 TB        28002       500000    ok/ok
cheung               96.15 GB         48.08 GB         12.88 TB          6.44 TB           63       500000    ok/ok
haweber              95.98 GB         47.99 GB          4.00 TB          2.00 TB          526       500000    ok/ok
maria22              94.99 GB         47.49 GB          4.29 TB          2.15 TB        15379       500000    ok/ok
solmsted             93.51 GB         46.75 GB          4.00 TB          2.00 TB       109988       500000    ok/ok
farrell3             93.49 GB         46.74 GB          4.29 TB          2.15 TB            3       500000    ok/ok
sznajder             92.42 GB         46.21 GB          4.29 TB          2.15 TB         1870       500000    ok/ok
castaned             92.40 GB         46.20 GB          4.29 TB          2.15 TB         1600       500000    ok/ok
jrsmith              92.13 GB         46.06 GB          4.29 TB          2.15 TB          264       500000    ok/ok
kcoll1               89.38 GB         44.69 GB          4.29 TB          2.15 TB         6555       500000    ok/ok
kmcdermo             89.20 GB         44.60 GB          4.29 TB          2.15 TB          450       500000    ok/ok
arose                88.50 GB         44.25 GB          4.29 TB          2.15 TB         1563       500000    ok/ok
meloam               88.33 GB         44.17 GB          4.29 TB          2.15 TB          100       500000    ok/ok
matteoc              86.79 GB         43.39 GB          4.29 TB          2.15 TB         1286       500000    ok/ok
yun                  85.85 GB         42.93 GB          4.29 TB          2.15 TB          364       500000    ok/ok
georgemm             85.66 GB         42.83 GB          4.40 TB          2.20 TB         2095       500000    ok/ok
kalarson             84.96 GB         42.48 GB          4.29 TB          2.15 TB         9313       500000    ok/ok
andersj              80.25 GB         40.13 GB          8.59 TB          4.29 TB          111       500000    ok/ok
sifuluo              80.02 GB         40.01 GB          4.00 TB          2.00 TB           61       500000    ok/ok
prebello             78.88 GB         39.44 GB          4.29 TB          2.15 TB           28       500000    ok/ok
alimena              78.73 GB         39.36 GB         12.00 TB          6.00 TB        23753       500000    ok/ok
drathjen             78.65 GB         39.32 GB          4.00 TB          2.00 TB          361       500000    ok/ok
mheindl              78.62 GB         39.31 GB          4.00 TB          2.00 TB         1000       500000    ok/ok
asimsek              76.27 GB         38.13 GB          4.00 TB          2.00 TB           82       500000    ok/ok
zuranski             71.63 GB         35.81 GB          4.29 TB          2.15 TB          890       500000    ok/ok
dmason               62.69 GB         31.34 GB          4.29 TB          2.15 TB         1362       500000    ok/ok
afortman             62.37 GB         31.18 GB          4.29 TB          2.15 TB        10081       500000    ok/ok
jdezoort             61.86 GB         30.93 GB          4.29 TB          2.15 TB           89       500000    ok/ok
mcmaster             61.07 GB         30.54 GB          4.00 TB          2.00 TB          574       500000    ok/ok
kaur                 59.19 GB         29.59 GB          4.00 TB          2.00 TB        30279       500000    ok/ok
bfabelae             58.21 GB         29.10 GB          4.00 TB          2.00 TB        25912       500000    ok/ok
okukral              56.72 GB         28.36 GB          4.29 TB          2.15 TB          206       500000    ok/ok
debarati             56.17 GB         28.08 GB        858.99 GB        429.50 GB           26       500000    ok/ok
jmurillo             53.21 GB         26.61 GB          4.29 TB          2.15 TB       145127       500000    ok/ok
sstarko              53.05 GB         26.53 GB          4.29 TB          2.15 TB        57066       500000    ok/ok
cschiber             52.81 GB         26.41 GB          4.00 TB          2.00 TB        35510       500000    ok/ok
ozdemir              52.42 GB         26.21 GB          4.29 TB          2.15 TB          631       500000    ok/ok
marlow               51.77 GB         25.88 GB          4.29 TB          2.15 TB          531       500000    ok/ok
gzevi                50.99 GB         25.50 GB          4.00 TB          2.00 TB          221       500000    ok/ok
pratima              49.96 GB         24.98 GB         11.00 TB          5.50 TB          218       500000    ok/ok
nbower               47.86 GB         23.93 GB          4.29 TB          2.15 TB           74       500000    ok/ok
imcalist             47.44 GB         23.72 GB          4.29 TB          2.15 TB           72       500000    ok/ok
ccamen               47.41 GB         23.70 GB          4.29 TB          2.15 TB           75       500000    ok/ok
wywong               47.01 GB         23.51 GB          4.29 TB          2.15 TB          142       500000    ok/ok
uscms6890            46.99 GB         23.49 GB           0.00 B           0.00 B         1189            0    ignored/ignored
lprado               46.94 GB         23.47 GB          4.29 TB          2.15 TB           81       500000    ok/ok
mehagen              46.81 GB         23.40 GB          4.29 TB          2.15 TB           83       500000    ok/ok
bjoshi               46.80 GB         23.40 GB          4.29 TB          2.15 TB          301       500000    ok/ok
stata                46.65 GB         23.33 GB          4.00 TB          2.00 TB        35227       500000    ok/ok
jeckdahl             46.46 GB         23.23 GB          4.29 TB          2.15 TB           82       500000    ok/ok
lennesse             46.43 GB         23.21 GB          4.29 TB          2.15 TB           72       500000    ok/ok
mandal13             46.15 GB         23.07 GB          4.29 TB          2.15 TB           41       500000    ok/ok
dmorse               45.03 GB         22.52 GB          4.29 TB          2.15 TB        22867       500000    ok/ok
sdittmer             43.83 GB         21.92 GB          4.29 TB          2.15 TB       125563       500000    ok/ok
jmartine             39.86 GB         19.93 GB          4.00 TB          2.00 TB          651       500000    ok/ok
toropin              39.61 GB         19.80 GB          4.29 TB          2.15 TB          100       500000    ok/ok
lpernie              39.34 GB         19.67 GB          4.29 TB          2.15 TB            3       500000    ok/ok
kukarzev             38.94 GB         19.47 GB          4.29 TB          2.15 TB        59327       500000    ok/ok
awoodard             38.49 GB         19.24 GB          4.29 TB          2.15 TB           45       500000    ok/ok
cardwell             37.38 GB         18.69 GB          4.29 TB          2.15 TB           61       500000    ok/ok
mirkovic             37.16 GB         18.58 GB          4.00 TB          2.00 TB         1349       500000    ok/ok
lcorcodi             36.41 GB         18.20 GB          4.00 TB          2.00 TB          299       500000    ok/ok
jchen                36.04 GB         18.02 GB          4.29 TB          2.15 TB           80       500000    ok/ok
schhibra             32.72 GB         16.36 GB          4.29 TB          2.15 TB         1029            0    ok/ignored
maral87              32.34 GB         16.17 GB          4.00 TB          2.00 TB           82       500000    ok/ok
sckao                31.82 GB         15.91 GB          4.29 TB          2.15 TB           54       500000    ok/ok
skurz                28.45 GB         14.22 GB       1000.00 GB        500.00 GB         1826       500000    ok/ok
npoudyal             28.41 GB         14.21 GB          4.29 TB          2.15 TB           53       500000    ok/ok
kenai                28.34 GB         14.17 GB          4.00 TB          2.00 TB           90       500000    ok/ok
mrenna               27.89 GB         13.94 GB          4.29 TB          2.15 TB          152       500000    ok/ok
cmills               27.77 GB         13.88 GB          4.29 TB          2.15 TB           13       500000    ok/ok
syuan                27.47 GB         13.74 GB          4.29 TB          2.15 TB         5252       500000    ok/ok
ahenckel             27.13 GB         13.56 GB          4.29 TB          2.15 TB         9692       500000    ok/ok
jdamgov              26.66 GB         13.33 GB          4.29 TB          2.15 TB         4112       500000    ok/ok
soureek              26.20 GB         13.10 GB          4.29 TB          2.15 TB         1351       500000    ok/ok
as2872               25.85 GB         12.93 GB          4.29 TB          2.15 TB           53       500000    ok/ok
dkim2                25.24 GB         12.62 GB          4.00 TB          2.00 TB         1624       500000    ok/ok
abakshi              24.63 GB         12.31 GB          4.29 TB          2.15 TB          521       500000    ok/ok
hbecerri             24.58 GB         12.29 GB          4.29 TB          2.15 TB           43       500000    ok/ok
across               24.45 GB         12.22 GB          4.29 TB          2.15 TB          521       500000    ok/ok
vmikuni              24.37 GB         12.18 GB          4.29 TB          2.15 TB           42       500000    ok/ok
dnavarro             24.25 GB         12.12 GB          4.29 TB          2.15 TB           31       500000    ok/ok
smfreed4             24.24 GB         12.12 GB          4.29 TB          2.15 TB           92       500000    ok/ok
lmartika             24.24 GB         12.12 GB          4.29 TB          2.15 TB           41       500000    ok/ok
jsandy               24.16 GB         12.08 GB          4.29 TB          2.15 TB           41       500000    ok/ok
awade                24.10 GB         12.05 GB          4.29 TB          2.15 TB           41       500000    ok/ok
yuanchen             24.04 GB         12.02 GB          4.29 TB          2.15 TB           42       500000    ok/ok
dbaron               24.01 GB         12.00 GB          4.29 TB          2.15 TB           41       500000    ok/ok
caleb                23.99 GB         12.00 GB          4.29 TB          2.15 TB           41       500000    ok/ok
drosenzw             23.98 GB         11.99 GB          4.29 TB          2.15 TB           41       500000    ok/ok
abragagn             23.92 GB         11.96 GB          4.29 TB          2.15 TB           42       500000    ok/ok
dlemos               23.91 GB         11.96 GB          4.29 TB          2.15 TB           42       500000    ok/ok
kakw                 23.88 GB         11.94 GB          4.29 TB          2.15 TB           42       500000    ok/ok
janguian             23.88 GB         11.94 GB          4.29 TB          2.15 TB           42       500000    ok/ok
serguei              23.86 GB         11.93 GB          4.29 TB          2.15 TB          209       500000    ok/ok
abhd1994             23.82 GB         11.91 GB          4.29 TB          2.15 TB           41       500000    ok/ok
gabaasz              23.81 GB         11.90 GB          4.29 TB          2.15 TB          501       500000    ok/ok
dkondrat             23.80 GB         11.90 GB          4.29 TB          2.15 TB           41       500000    ok/ok
bcaraway             23.79 GB         11.90 GB          4.00 TB          2.00 TB           41       500000    ok/ok
lliu                 23.74 GB         11.87 GB          4.29 TB          2.15 TB           51       500000    ok/ok
fnavarro             23.73 GB         11.87 GB          4.29 TB          2.15 TB           41       500000    ok/ok
ebols                23.73 GB         11.86 GB          4.29 TB          2.15 TB           41       500000    ok/ok
fantahun             23.71 GB         11.85 GB          4.29 TB          2.15 TB           41       500000    ok/ok
bburkle              23.68 GB         11.84 GB          4.29 TB          2.15 TB           42       500000    ok/ok
sconsueg             23.62 GB         11.81 GB          4.29 TB          2.15 TB           54       500000    ok/ok
nvanegas             23.61 GB         11.80 GB          4.29 TB          2.15 TB           43       500000    ok/ok
hroutray             23.61 GB         11.80 GB          4.29 TB          2.15 TB           85       500000    ok/ok
mfackeld             23.57 GB         11.79 GB          4.29 TB          2.15 TB         1148       500000    ok/ok
ddiaz                23.57 GB         11.79 GB          4.29 TB          2.15 TB           41       500000    ok/ok
itaulli              23.57 GB         11.79 GB          4.29 TB          2.15 TB           42       500000    ok/ok
dperezad             23.57 GB         11.79 GB          4.29 TB          2.15 TB           42       500000    ok/ok
dwolfsch             23.57 GB         11.78 GB          4.29 TB          2.15 TB           41       500000    ok/ok
twelton              23.57 GB         11.78 GB          4.29 TB          2.15 TB           42       500000    ok/ok
bliangg              23.57 GB         11.78 GB          4.29 TB          2.15 TB           41       500000    ok/ok
jmadhusu             23.57 GB         11.78 GB          4.29 TB          2.15 TB           41       500000    ok/ok
rhabibul             23.55 GB         11.77 GB          4.29 TB          2.15 TB           41       500000    ok/ok
mdefranc             23.40 GB         11.70 GB          4.29 TB          2.15 TB          587       500000    ok/ok
doverton             23.35 GB         11.67 GB          4.29 TB          2.15 TB          240       500000    ok/ok
ajambuge             23.27 GB         11.64 GB          4.00 TB          2.00 TB           50       500000    ok/ok
shuliu               23.27 GB         11.64 GB          4.29 TB          2.15 TB           53       500000    ok/ok
wlago                23.24 GB         11.62 GB          4.00 TB          2.00 TB           41       500000    ok/ok
vnguyen1             23.24 GB         11.62 GB          4.29 TB          2.15 TB           41       500000    ok/ok
smacauda             23.23 GB         11.62 GB          4.00 TB          2.00 TB           41       500000    ok/ok
llou                 23.23 GB         11.62 GB          4.00 TB          2.00 TB           41       500000    ok/ok
xyan                 23.23 GB         11.62 GB          4.29 TB          2.15 TB           41       500000    ok/ok
jhan                 23.23 GB         11.61 GB          4.00 TB          2.00 TB           39       500000    ok/ok
miszczak             23.20 GB         11.60 GB          4.29 TB          2.15 TB           32       500000    ok/ok
otower               22.75 GB         11.38 GB          4.00 TB          2.00 TB           42       500000    ok/ok
mrc1452              21.69 GB         10.84 GB       1000.00 GB        500.00 GB           81       500000    ok/ok
jwwetzel             20.87 GB         10.43 GB          8.59 TB          4.29 TB         1800       500000    ok/ok
joshmt               19.76 GB          9.88 GB          4.29 TB          2.15 TB          273       500000    ok/ok
ehinkle              19.32 GB          9.66 GB          4.00 TB          2.00 TB         4364       500000    ok/ok
prout                18.31 GB          9.16 GB          4.00 TB          2.00 TB          734       500000    ok/ok
catalind             17.79 GB          8.90 GB          4.00 TB          2.00 TB           66        10000    ok/ok
piperov              16.97 GB          8.48 GB         10.74 TB          5.37 TB            2       500000    ok/ok
duggan               16.65 GB          8.33 GB          4.29 TB          2.15 TB           42       500000    ok/ok
swagata              16.62 GB          8.31 GB          4.29 TB          2.15 TB         1219       500000    ok/ok
sakuma               16.34 GB          8.17 GB          4.29 TB          2.15 TB           20       500000    ok/ok
fblekman             16.00 GB          8.00 GB          4.29 TB          2.15 TB          130       500000    ok/ok
cristy               15.59 GB          7.80 GB          4.29 TB          2.15 TB           77       500000    ok/ok
djulson              14.84 GB          7.42 GB          4.00 TB          2.00 TB        23808       500000    ok/ok
tba9h                14.55 GB          7.27 GB          4.00 TB          2.00 TB           11       500000    ok/ok
abhijith             14.16 GB          7.08 GB          4.29 TB          2.15 TB         3298       500000    ok/ok
lkang                12.59 GB          6.29 GB          4.29 TB          2.15 TB          805       500000    ok/ok
mortega              12.56 GB          6.28 GB          4.00 TB          2.00 TB         4363       500000    ok/ok
menendez             11.06 GB          5.53 GB          4.00 TB          2.00 TB          796       500000    ok/ok
mayaruma             10.80 GB          5.40 GB          4.29 TB          2.15 TB          274       500000    ok/ok
majumder             10.00 GB          5.00 GB          4.29 TB          2.15 TB         2625       500000    ok/ok
neumeist              9.98 GB          4.99 GB          4.00 TB          2.00 TB          346       500000    ok/ok
jongho                9.60 GB          4.80 GB          4.29 TB          2.15 TB          207       500000    ok/ok
kangal                9.36 GB          4.68 GB          4.29 TB          2.15 TB           57       500000    ok/ok
natasha               9.35 GB          4.68 GB          4.29 TB          2.15 TB           11       500000    ok/ok
niendorf              9.25 GB          4.62 GB          4.00 TB          2.00 TB            7       500000    ok/ok
gcollura              9.21 GB          4.60 GB          4.00 TB          2.00 TB         4394       500000    ok/ok
azhang                8.16 GB          4.08 GB          4.00 TB          2.00 TB        23425       500000    ok/ok
johnpaul              7.87 GB          3.94 GB          4.29 TB          2.15 TB           35       500000    ok/ok
drberry               7.72 GB          3.86 GB          3.00 TB          1.50 TB           36       500000    ok/ok
rkamalie              7.41 GB          3.70 GB          4.00 TB          2.00 TB           16       500000    ok/ok
andreypz              7.14 GB          3.57 GB         10.74 TB          5.37 TB           25       500000    ok/ok
